claim_id,texto_resumido,fonte_arquivo,fonte_linha,categoria,superficie_publica,comportamento_esperado,peso,criticidade,observacao
CLM-A0-132,GET /rules/disabled retorna regras desabilitadas pelo IF,docs/openapi/v1.yaml,281,validacao,API,retorna lista de regras com toggle off,3,supporting,
CLM-A0-133,POST /rules/{code}/toggle habilita/desabilita regra por IF,docs/openapi/v1.yaml,306,validacao,API,toggle muda estado persistido,3,supporting,
CLM-A0-134,POST /validate executa L1 ate L4 sobre documento,docs/openapi/v1.yaml,343,validacao,API,retorna errors por layer,5,core,
CLM-A0-135,POST /generate/{cadoc} gera documento a partir do Canonical,docs/openapi/v1.yaml,396,geracao,API,retorna XML/ZIP com SHA256,5,core,
CLM-A0-136,GET /generate/{cadoc}/fields retorna campos obrigatorios do generator,docs/openapi/v1.yaml,467,geracao,API,retorna lista de Field,5,core,
CLM-A0-137,GET /generate/{cadoc}/sources lista fontes disponiveis para o CADOC,docs/openapi/v1.yaml,492,geracao,API,retorna fontes cadastradas,3,supporting,
CLM-A0-138,GET /generate/adapters lista todos os adapters de ingestao,docs/openapi/v1.yaml,538,ingestao,API,retorna 5 adapters,5,core,
CLM-A0-139,POST /generate/file/parse processa arquivo (PDF/XLSX/DOCX/CSV),docs/openapi/v1.yaml,559,ingestao,API,retorna CanonicalDocument extraido,3,supporting,
CLM-A0-140,POST /generate/batch gera multiplos CADOCs em lote,docs/openapi/v1.yaml,606,geracao,API,retorna batch com sucessos e falhas,5,core,
CLM-A0-141,GET /generate/history paginado de geracoes anteriores,docs/openapi/v1.yaml,638,geracao,API,suporta page e per_page,3,supporting,
CLM-A0-142,POST /crossdoc/validate valida consistencia entre CADOCs (L3),docs/openapi/v1.yaml,683,validacao,API,retorna errors cross-doc,5,core,
CLM-A0-143,GET /crossdoc/rules lista regras cross-doc registradas,docs/openapi/v1.yaml,721,validacao,API,retorna XD01-XD12 se implementadas,5,core,
CLM-A0-144,POST /sta/submit submete documento ao STA,docs/openapi/v1.yaml,740,integracao,API,retorna protocolo,5,core,
CLM-A0-145,GET /sta/disponiveis lista downloads disponiveis (read side),docs/openapi/v1.yaml,784,integracao,API,retorna lista de arquivos (requer RADIANT_STA_BACKEND=ws),3,supporting,
CLM-A0-146,POST /sta/situacao altera situacao de envio,docs/openapi/v1.yaml,803,integracao,API,altera status de um envio,3,supporting,
CLM-A0-147,GET /radar/alerts lista alertas do radar regulatorio,docs/openapi/v1.yaml,841,integracao,API,retorna alertas ativos,3,supporting,
CLM-A0-148,GET /radar/alerts/{id} detalha alerta,docs/openapi/v1.yaml,870,integracao,API,retorna dados completos do alerta,3,supporting,
CLM-A0-149,POST /radar/alerts/{id}/resolve marca alerta como resolvido,docs/openapi/v1.yaml,896,integracao,API,resolve alerta e registra acao,3,supporting,
CLM-A0-150,POST /radar/scan dispara scan manual,docs/openapi/v1.yaml,934,integracao,API,executa scan imediato,3,supporting,
CLM-A0-151,POST /l4/compare compara periodos (L4 historico),docs/openapi/v1.yaml,973,validacao,API,compara 2 ou mais data-bases e retorna divergencias,5,core,
CLM-A0-152,GET /envios lista envios realizados,docs/openapi/v1.yaml,1007,integracao,API,lista paginada,3,supporting,
CLM-A0-153,GET /envios/stats retorna estatisticas de envios,docs/openapi/v1.yaml,1036,integracao,API,retorna contadores agregados,3,supporting,
CLM-A0-154,GET /audit_log retorna entradas do audit log,docs/openapi/v1.yaml,1061,seguranca,API,consulta paginada da hash chain,5,core,
CLM-A0-155,GET /insights/kpis retorna KPIs orientados por ML,docs/openapi/v1.yaml,1091,ui,API,retorna KPIs (insights),3,supporting,
CLM-A0-156,GET /insights/heatmap retorna heatmap,docs/openapi/v1.yaml,1110,ui,API,retorna matriz de calor,3,supporting,
CLM-A0-157,GET /insights/rules/top-failing retorna regras que mais falham,docs/openapi/v1.yaml,1129,ui,API,retorna ranking,3,supporting,
CLM-A0-158,GET /insights/recommendations lista recomendacoes,docs/openapi/v1.yaml,1156,ui,API,retorna lista de recomendacoes,3,supporting,
CLM-A0-159,POST /insights/recommendations/{id}/acknowledge reconhece recomendacao,docs/openapi/v1.yaml,1179,ui,API,marca como acknowledged,3,supporting,
CLM-A0-160,GET /marketplace lista regras customizadas compartilhaveis,docs/openapi/v1.yaml,1239,ui,API,retorna catalogo marketplace,3,supporting,
CLM-A0-161,POST /v1/marketplace/{id}/install instala regra do marketplace,docs/openapi/v1.yaml,1312,ui,API,instala regra customizada,3,supporting,
CLM-A0-162,POST /v1/marketplace/{id}/rate avalia regra,docs/openapi/v1.yaml,1340,ui,API,registra rating,3,supporting,
CLM-A0-163,GET /v1/marketplace/installed lista regras instaladas,docs/openapi/v1.yaml,1381,ui,API,retorna regras instaladas pelo IF,3,supporting,
CLM-A0-164,POST /webhooks cria webhook outbound,docs/openapi/v1.yaml,1406,integracao,API,cria webhook com assinatura HMAC,5,core,
CLM-A0-165,PATCH/DELETE /v1/webhooks/{id} gerencia webhook,docs/openapi/v1.yaml,1458,integracao,API,atualiza ou remove,3,supporting,
CLM-A0-166,GET /v1/webhooks/{id}/deliveries lista entregas,docs/openapi/v1.yaml,1480,integracao,API,lista tentativas de entrega,3,supporting,
CLM-A0-167,GET /v1/webhooks/{id}/deliveries/{delivery_id} detalha entrega,docs/openapi/v1.yaml,1518,integracao,API,mostra body response e headers,3,supporting,
CLM-A0-168,POST /v1/webhooks/{id}/deliveries/{delivery_id}/retry reprocessa entrega,docs/openapi/v1.yaml,1548,integracao,API,reenvia evento,3,supporting,
CLM-A0-169,Paths /marketplace e /v1/marketplace/* (e /webhooks e /v1/webhooks/*) misturam presenca/ausencia do prefixo /v1,docs/openapi/v1.yaml,1239/1312/1340/1381/1406/1458/1480/1518/1548,contratos,API,API aceita ambos caminhos; ou somente um; bug ou intencional,5,core,duas das pistas quentes do prompt: paths misturando presenca/ausencia do prefixo /v1
CLM-A0-170,Suporte dual driver SQLite (default dev) e Postgres (producao) detectado por prefixo da DSN,docs/postgres-setup.md,3,deployment,runtime,DATABASE_URL=postgres:// seleciona pgx; sqlite:// seleciona modernc.org/sqlite,5,core,
CLM-A0-171,Pool: SQLite 8 max open / 2 max idle; Postgres 25 max open / 5 max idle,docs/postgres-setup.md,51,deployment,runtime,driver configura pool conforme DSN,3,supporting,
CLM-A0-172,Migration 004 (F3) com INSERT OR IGNORE NAO roda em Postgres (criar migration Postgres-flavor separada),docs/postgres-setup.md,35,deployment,runtime,aplicar migration 004 em Postgres falha ou no-op,5,core,limitacao documentada; precisa ser enderecada em Sprint 7
CLM-A0-173,Sprint 6 v1.5.0 NAO inclui integration tests com Postgres real (pularia CI),docs/postgres-setup.md,66,deployment,build,go test ./... roda em SQLite; sem tag integration com Postgres,3,supporting,contradiz claim de Postgres RLS em producao se nao testado
CLM-A0-174,Sem read replica support (conexao unica),docs/postgres-setup.md,78,deployment,runtime,apenas uma conexao DB principal,3,supporting,
CLM-A0-175,Catalogo de regras 3040 (v1.7.0 Sprint 7b) declara 60 regras: 5 raw (B01-B05) + 55 tipadas (20 Basicas + 15 Formato + 10 Campos Obrigatorios + 10 Semanticas),docs/rules-3040-catalog.md,27,validacao,API,"codigos B01-B25, F01-F15, C01-C10, S01-S10 batem com o codigo",5,core,"quinto numero distinto de regras 3040: 60 (alem de 25, 126, 275, 320, 275/361)"
CLM-A0-176,"Severidade: E (Erro bloqueante), A (Aviso revisao), I (Informativo)",docs/rules-3040-catalog.md,31,validacao,runtime,codigo emite 3 severidades,3,supporting,
CLM-A0-177,Fuzz testing em internal/crossdoc/rules/iter_fuzz_test.go com 427k+ execs em 2s,docs/rules-3040-catalog.md,128,validacao,build,teste roda e cobre CDATA entities malformed UTF-8 nested oversized,1,supporting,contradiz README linha 230 que diz 'race clean' mas nao menciona fuzz
CLM-A0-178,LLM NAO substitui pipeline; preenche gap entre dado bruto e CanonicalDocument; resto deterministico em Go,docs/LLM_INTEGRATION_GUIDE.md,11,geracao,build,docling + LLM para PDF/DOCX; resto continua Go,3,supporting,
CLM-A0-179,MCPAdapter ja definido em backend/internal/ingest/adapter.go linha 378 mas retorna ErrNotImplemented,docs/LLM_INTEGRATION_GUIDE.md,55,ingestao,runtime,adapter existe como stub; chama Fetch retorna erro nao implementado,5,core,confirma claim de stubs; pista quente do prompt
CLM-A0-180,Plano Sprint 58-62: criar internal/llm/client.go (Ollama) + internal/llm/embeddings.go (BGE-M3) + cmd/mcp-server/main.py,docs/LLM_INTEGRATION_GUIDE.md,510,deployment,build,todos os arquivos listados existem,1,supporting,documento de 2026-07-09 - checar se tarefas foram entregues
CLM-A0-181,Pipeline LLM: Ollama (qwen2.5:14b) + Docling (PDF/DOCX/XLSX) + ChromaDB (RAG) + BGE-M3 (embeddings),docs/LLM_INTEGRATION_GUIDE.md,412,deployment,build,stack existe e configurada,1,marketing,
CLM-A0-182,Regra de ouro: LLM so entra onde ha ambiguidade semantica; XML validacao L1-L4 calculo de totais hash STA continuam em Go,docs/LLM_INTEGRATION_GUIDE.md,493,geracao,build,Emitter e Go-only; regras sao deterministicas,5,core,
CLM-A0-183,"ON_PREMISE_LLM_SPEC e PROPOSTA (versao 1.1, 2026-07-09), nao entregue",docs/ON_PREMISE_LLM_SPEC.md,5,deployment,build,status do documento,3,supporting,
CLM-A0-184,Codigo atual v3.36.0 ja inclui: internal/radar monitor de URLs BACEN; internal/ingest com 5 conectores; internal/generator; internal/sta; internal/audit; cmd/worker,docs/ON_PREMISE_LLM_SPEC.md,13,deployment,build,todos os modulos existem e operam,5,core,
CLM-A0-185,internal/ingest tem 5 conectores incluindo MCP (contradiz README '4 stubs e 1 funcional'),docs/ON_PREMISE_LLM_SPEC.md,17,ingestao,build,5 adapters registrados no registry,5,core,contradicao direta com README linha 323
CLM-A0-186,Plano Sprint 58-66: adicionar internal/llm + Docling + ChromaDB + worker de normativos + LoRA fine-tuning opcional,docs/ON_PREMISE_LLM_SPEC.md,333,deployment,build,verificar quais foram entregues,1,supporting,
CLM-A0-187,Hardware Setup B recomendado: RTX 4090 24GB + Ryzen 9 7900X + 128GB RAM + 8TB storage ~26500 BRL,docs/ON_PREMISE_LLM_SPEC.md,116,deployment,deploy,configuracao compravel,1,marketing,
CLM-A0-188,Resolucao BCB 4.658/2018 exige retencao minima de 5 anos para log de auditoria,docs/ON_PREMISE_LLM_SPEC.md,293,compliance,runtime,configuracao de retencao em conformidade,3,supporting,
CLM-A0-189,Criptografia at-rest: LUKS + dm-crypt AES-256-XTS em /data e /var/log/radiant,docs/ON_PREMISE_LLM_SPEC.md,275,seguranca,deploy,discos cifrados,3,supporting,
CLM-A0-190,Air-gap por padrao; whitelist egress para BACEN (www.bcb.gov.br sta.bcb.gov.br) SMTP e registry,docs/ON_PREMISE_LLM_SPEC.md,284,seguranca,deploy,firewall com default deny,3,supporting,
CLM-A0-191,"Comparacao de custo: AWS Bedrock Claude 3.5 Sonnet R$0,08/1k tokens vs self-hosted Qwen2.5-14B ~R$0,001/1k tokens (50-200x economia)",docs/ON_PREMISE_LLM_SPEC.md,315,negocio,deploy,economia de 50-200x reproduzida,1,marketing,
CLM-A0-192,OpenAPI expoe 12 tags: Health Schema Rules Validation Generation CrossDoc STA Radar Audit Insights Webhooks Marketplace,docs/openapi/v1.yaml,49,contratos,OpenAPI,todas as tags existem no spec,3,supporting,
CLM-A0-193,OpenAPI expoe 49 operacoes em 46 paths,docs/openapi/v1.yaml,multi,contratos,OpenAPI,contagem via grep,3,supporting,contradiz README linha 240 que diz '20+ endpoints'
CLM-A0-194,OpenAPI servers usam https://api.radiantrisk.com (dominio radiantrisk - nao radiant-norma),docs/openapi/v1.yaml,39,contratos,deploy,dominio existe e roteia,1,supporting,dominio divergente do repo github (quant-risk/radiant-norma)
CLM-A0-195,OpenAPI declara contato 'Radiant Risk' e email api@radiantrisk.com,docs/openapi/v1.yaml,33,contratos,OpenAPI,informacao de contato exposta,1,marketing,
CLM-A0-196,Rate limiting documentado apenas em /v1/l4/compare (linha 30); demais endpoints nao documentam buckets,docs/openapi/v1.yaml,29,seguranca,API,rate limit aplicado globalmente com mesmo bucket ou varia por endpoint,3,supporting,
CLM-A0-197,Endpoints /rules/{code}/toggle e /rules/disabled implementam regra toggle (rate limit de toggles mencionado em ADR-0006),docs/openapi/v1.yaml,306,seguranca,API,limite por tenant documentado e aplicado,3,supporting,rate limit de toggles e item da Fase D BENCH-03
